"No..of.Tanks","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Notes"
1,"29298","15-Aug-2024","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","MHM/RM",40,"Stocks"
1,"29414","05-Sep-2024","hsp70:zgnao1-2A-EGFP-L11","GFP/+","MHM/RM",40,"Stocks"
1,"29472","17-Sep-2024","ub:switchGFP","GFP/+","MHM/RM",40,"Stocks"
1,"29473","17-Sep-2024","j1766(GPNMB3:GFP)","GFP/+","MHM/RM",40,"Stocks"
4,"29474","17-Sep-2024","EKAB","+/+","MHM/RM",40,"for Lili"
4,"29438","11-Sep-2024","sox2-2A-CreERT2; ubi:nRSG","RFP+, Cre + or Cre-","MHM/RM",40,"genotype"
3,"29485","19-Sep-2024","sox2-2A-CreERT2; ubi:nRSG","RFP+, Cre + or Cre-","MHM/RM",40,"for Lili"
5,"29690","22-Oct-2024","prkdc-/-;il2rga-/-","-/-;-/-","MK/MHM",200,"2 tanks for Ryan"
1,"29691","22-Oct-2024","Tg(hsp70: tcima-3xFlag-EGFP-L1) outx Tg(mpeg 1.1:tdTomato)","GFP/+","DNK/MHM",40,"Lens GFP+, tdTom+"
1,"29692","22-Oct-2024","Tg(hsp70: tcima-3xFlag-EGFP-L1) outx Tg(mpeg 1.1:tdTomato)","+/+","DNK/MHM",40,"Lens GFP-, tdTom+"
