"Tank.Name","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Experiment.label","Food.label","Notes"
"J4-1_A1",26578,"27-Jul-2023","stl236 - plecb ; stl261 - pleca","+/+ or +/- ; +/+ or +/-","VMS/MHM","55","GENOTYPE","SD","genotype for double hets"
"J4-1_A2",26578,"27-Jul-2023","stl236 - plecb ; stl261 - pleca","+/+ or +/- ; +/+ or +/-","VMS/MHM","40","GENOTYPE","SD","genotype for double hets"
"J4-1_A3",26578,"27-Jul-2023","stl236 - plecb ; stl261 - pleca","+/+ or +/- ; +/+ or +/-","VMS/MHM","40","GENOTYPE","SD","genotype for double hets"
"J4-1_A4",NA,NA,NA,NA,NA,NA,NA,NA,"Enter notes"
"J4-1_A5",24769,"6-Dec-2022","Tg(slc2a3b:EGFP)","Enter genotype","MHM/RM","30","Stocks","JA","Enter notes"
"J4-1_A6",24769,"6-Dec-2022","Tg(slc2a3b:EGFP)","Enter genotype","MHM/RM","15","Stocks","Enter food label","changing notes using bulk edits"
"J4-1_A7",24809,"15-Dec-2022","Tg(actc1b:NTR-2A-mcherry) +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","changing notes using bulk edits"
"J4-1_A8",24809,"15-Dec-2022","Tg(actc1b:NTR-2A-mcherry) +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","changing notes using bulk edits"
"J4-1_A9",23445,"17-May-2022","pkrdc+/-;il2rga+/-:WT","nR/+; JF/+","MHM/RM","15","Stocks","JA","changing notes using bulk edits"
"J4-1_A10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A12",25852,"25-Apr-2023","olig2:GFP+/+","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_A13",24703,"1-Dec-2022","prkdc -/-;il2rga -/-;wt","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_A14",NA,"","","","",NA,"","",""
"J4-1_A15",23749,"7-Jul-2022","Tg(pdgfrb Gal4 UAS:RFP)","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B1",24635,"15-Nov-2022","ctgfa-1kb-del-L3 het inx","Enter genotype","DNK/RM/MHM","15","Stocks","Enter food label","to euthanize"
"J4-1_B2",25594,"4-Apr-2023","isl1:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B3",25594,"4-Apr-2023","isl1:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B4",24016,"16-Aug-2022","foxd3-17:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B5",24016,"16-Aug-2022","foxd3-17:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B6",23534,"2-Jun-2022","Sox2-2A-CreER CRE_______","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B7",24282,"4-Oct-2022","sox10:RFP;mbp:GFPcaax +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B8",24282,"4-Oct-2022","sox10:RFP;mbp:GFPcaax +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B9",24281,"4-Oct-2022","foxd3-18:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B10",24281,"4-Oct-2022","foxd3-18:GFP +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B11",24538,"3-Nov-2022","Tg(hpla:GFP) +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B12",24538,"3-Nov-2022","Tg(hpla:GFP) +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B13",24626,"15-Nov-2022","hpla-mcherry-NTR +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B14",24626,"15-Nov-2022","hpla-mcherry-NTR +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B15",24635,"15-Nov-2022","ctgfa-1kb-del-L3 het inx","Enter genotype","DNK/RM/MHM","15","Stocks","Enter food label","Enter Notes"
"J4-1_C1",23250,"8-Apr-2022","ctgfa +/- x AB","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C2",23336,"28-Apr-2022","ctgfa-R-NTR-L13","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C3",22829,"26-Jan-2023","stl655:tg(ctgfa:GFP-L9) GFP+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C4",25604,"4-Apr-2023","stab1 het inx","Enter genotype","RM/MHM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C5",26072,"23-May-2023","Tg(hpla:GFP) +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C6",25604,"4-Apr-2023","stab1 het inx","Enter genotype","RM/MHM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C7",25606,"4-Apr-2023","pfkfb1 (stl676/+) het outx Tu","Enter genotype","RM/MHM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C8",23403,"10-May-2022","ctgfa-CreER-L1 Cre_______","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C9",23444,"17-May-2022","Tg(ctgfa:CreER-L7) Cre______","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_C10",25353,"7-Mar-2023","ctgfa-1kb-del-L3 -/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D1",23899,"26-Jul-2022","slc1a3b:myrGFP-P2A-H2A-mCherry","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D2",25773,"17-Apr-2023","ubi:nRSG +/- ;Casper","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D3",23900,"26-Jul-2022","GFAP-2A-tdTomato","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D4",25351,"8-Mar-2023","Tg(Fli:gfp)+/-;Casper+/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D5",NA,"","","","",NA,"","",""
"J4-1_D6",24057,"22-Aug-2022","AB*","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D7",26047,"18-May-2023","AB","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D8",25920,"2-May-2023","AB","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D9",23103,"17-Mar-2022","EK","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_D10",23103,"17-Mar-2022","EK","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E1",23539,"2-Jun-2022","j1766(GPNMB3:GFP)","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E2",23556,"7-Jun-2022","j1784:DCT-1:GFP +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E3",25696,"14-Apr-2023","GFAP:GFP +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E4",25851,"25-Apr-2023","GFAP:GFP+/-;casper","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E5",25593,"4-Apr-2023","huc:GFP +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E6",25879,"27-Apr-2023","huc:GFP +/-;casper","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_E7",23133,"22-Mar-2022","huc-mcherry-NTR-L1","Enter genotype","RM/MHM","30","GENOTYPE","AF",""
"J4-1_E8",26227,"16-Jun-2023","huc-NTR-mcherry;Casper","GFP/+","MHM/RM","40","GENOTYPE","SD","Enter notes"
"J4-1_E9",26125,"31-May-2023","fli:GFP +/-;casper","+/-;-/-","MHM/RM","30","GENOTYPE","SD",""
"J4-1_E10",25595,"4-Apr-2023","hsp70:DN-MAML","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F1",25698,"12-Apr-2023","isl1:GFP+/+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F2",26226,"16-Jun-2023","isl1:GFP+/-; casper","GFP/+","MHM/RM","20","GENOTYPE","SD","Enter notes"
"J4-1_F3",25700,"12-Apr-2023","Nestin:GFP +/+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F4",26225,"16-Jun-2023","Nestin:GFP+/-;casper","Enter genotype","MHM/RM","40","GENOTYPE","SD","Enter notes"
"J4-1_F5",25699,"12-Apr-2023","NeuroD:GFP +/+","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
"J4-1_F6",24893,"5-Jan-2023","tg(Nkx62.2:EGFP) +/-","Enter genotype","MHM/RM","30","Stocks","Enter food label","Enter Notes"
