"Tank.Name","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Experiment.label","Food.label","Notes"
"2_A1","23163","11-Apr-2021","shootin3_crispr_f1","F1/+","VMS",1,"BREEDING STOCK","JA","F#64, F#61"
"2_A2","23163","12-Apr-2021","syt11b_crispr_f1","F1/+","VMS",2,"BREEDING STOCK","JA","F#80, F#75"
"2_A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_A4","23155","14-Apr-2021","vamp4_f1","F1/+","VMS",2,"","JA","#84, #74"
"2_A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_A6","22374","16-Apr-2021","syt11a_F0","F0","VMS",1,"","JA",""
"2_A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_A9","23163","19-Apr-2021","shootin3_crispr_f1","F1/+","VMS",1,"GENOTYPE","JA","F#64, F#61"
"2_A10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2_A11","25985","5/10/2023","hivep3b-CreERT2-mcherry(knockin F0)","F0","VMS",1,"GENOTYPE","SD","csv work well to transfer from nursery"
"2_A12","22377","15-Apr-2021","chrnb2_F0","F0","VMS",2,"GENOTYPE","JA","Enter notes"
"2_A13","18000","2023-07-07","Test3","Enter genotype","Enter owner name",1,"GENOTYPE","SD",""
"2_A14","25984","5/10/2023","hivep3b-NTR2.0-mcherry (knockin F0)","F0","VMS",1,"GENOTYPE","SD","please consider this as a good sign"
"2_A15","25984","5/10/2023","hivep3b-NTR2.0-mcherry (knockin F0)","F0","VMS",1,"GENOTYPE","SD","please consider this as a good sign"
"2_B1",NA,"","","","",NA,"","",""
"2_B2",NA,"","","","",NA,"","",""
"2_B3",NA,"","","","",NA,"","",""
"2_B4",NA,"","","","",NA,"","",""
"2_B5",NA,"","","","",NA,"","",""
"2_B6",NA,"","","","",NA,"","",""
"2_B7",NA,"","","","",NA,"","",""
"2_B8",NA,"","","","",NA,"","",""
"2_B9",NA,"","","","",NA,"","",""
"2_B10",NA,"","","","",NA,"","",""
"2_B11",NA,"","","","",NA,"","",""
"2_B12",NA,"","","","",NA,"","",""
"2_B13",NA,"","","","",NA,"","",""
"2_B14",NA,"","","","",NA,"","",""
"2_B15",NA,"","","","",NA,"","",""
"2_C1",NA,"","","","",NA,"","",""
"2_C2",NA,"","","","",NA,"","",""
"2_C3",NA,"","","","",NA,"","",""
"2_C4",NA,"","","","",NA,"","",""
"2_C5",NA,"","","","",NA,"","",""
"2_C6",NA,"","","","",NA,"","",""
"2_C7",NA,"","","","",NA,"","",""
"2_C8",NA,"","","","",NA,"","",""
"2_C9",NA,"","","","",NA,"","",""
"2_C10",NA,"","","","",NA,"","",""
"2_D1",NA,"","","","",NA,"","",""
"2_D2",NA,"","","","",NA,"","",""
"2_D3",NA,"","","","",NA,"","",""
"2_D4",NA,"","","","",NA,"","",""
"2_D5",NA,"","","","",NA,"","",""
"2_D6",NA,"","","","",NA,"","",""
"2_D7",NA,"","","","",NA,"","",""
"2_D8",NA,"","","","",NA,"","",""
"2_D9",NA,"","","","",NA,"","",""
"2_D10",NA,"","","","",NA,"","",""
"2_E1","25695","19-Apr-2021","hivep3b-NTR 2.0-mcherry knockin","F0","VMS",10,"GENOTYPE","SD",""
"2_E2","25694","19-Apr-2021","syt11b-NTR 2.0-mcherry knockin","F0","VMS",20,"GENOTYPE","SD",""
"2_E3",NA,"","","","",NA,"","",""
"2_E4",NA,"","","","",NA,"","",""
"2_E5",NA,"","","","",NA,"","",""
"2_E6",NA,"","","","",NA,"","",""
"2_E7","25453","19-Apr-2021","syt11b-NTR 2.0-mcherry knockin","F0","VMS",30,"GENOTYPE","SD",""
"2_E8","25453","19-Apr-2021","syt11b-NTR 2.0-mcherry knockin","F0","VMS",30,"GENOTYPE","SD",""
"2_E9","25453","19-Apr-2021","syt11b-NTR 2.0-mcherry knockin","F0","VMS",30,"GENOTYPE","SD",""
"2_E10","25453","19-Apr-2021","syt11b-NTR 2.0-mcherry knockin","F0","VMS",30,"GENOTYPE","SD",""
"2_F1",NA,"","","","",NA,"","",""
"2_F2",NA,"","","","",NA,"","",""
"2_F3",NA,"","","","",NA,"","",""
"2_F4",NA,"","","","",NA,"","",""
"2_F5",NA,"","","","",NA,"","",""
"2_F6",NA,"","","","",NA,"","",""
"2_F7",NA,"","","","",NA,"","",""
"2_F8",NA,"","","","",NA,"","",""
"2_F9",NA,"","","","",NA,"","",""
"2_F10",NA,"","","","",NA,"","",""
"2_G1",NA,"","","","",NA,"","",""
"2_G2",NA,"","","","",NA,"","",""
"2_G3",NA,"","","","",NA,"","",""
"2_G4",NA,"","","","",NA,"","",""
"2_G5",NA,"","","","",NA,"","",""
"2_G6",NA,"","","","",NA,"","",""
"2_G7",NA,"","","","",NA,"","",""
"2_G8",NA,"","","","",NA,"","",""
"2_G9",NA,"","","","",NA,"","",""
"2_G10",NA,"","","","",NA,"","",""
