"Date.and.time","Stock.number.","Date.of.Birth","Fish.name","Genotype","Responsible","Number.of.fish","Action"
"17-Jul-2023 15.24","26377","7-Jul-23","tert +/?","+/+ or +/-","MAG/MHM","40"," ADDED STOCK IN THE Walker Nursery"
"17-Jul-2023 15.41","25917","17-Jul-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 15.43","25917","17-Jul-23","EKAB","+/+","MAG/MHM","40","EDITED THE ADULT STOCK "
"17-Jul-2023 16.26","26400","6-Jul-23","Enter fish name","Enter genotype","Enter owner name","60"," ADDED STOCK IN THE Walker Nursery"
"17-Jul-2023 16.27","26400","6-Jul-23","Enter fish name","Enter genotype","Enter owner name","60","EUTHANIZED THE NURSERY STOCK"
"17-Jul-2023 16.32","26400","6-Jul-23","lhx4 CR F0","F0","YX/MHM","60"," ADDED STOCK IN THE Walker Nursery"
"17-Jul-2023 17.26","25918","3-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.27","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.28","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.28","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.29","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.29","25917","17-Jul-23","EKAB","+/+","MAG/MHM","40","EUTHANIZED THE ADULT STOCK"
"17-Jul-2023 17.32","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.32","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.34","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.35","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.36","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.36","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.36","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.36","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.36","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.37","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.37","26048","19-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.41","25918","3-May-23","EKAB","+/+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.43","26048","19-May-23","EKAB","+/+","MAG/MHM","40","EDITED THE ADULT STOCK "
"17-Jul-2023 17.45","25917","3-May-23","EKAB","wildtype","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"17-Jul-2023 17.46","25994","11-May-23","EKAB","wildtype","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.50","25994","11-May-23","EKAB","wildtype","MAG/MHM","40","EDITED THE ADULT STOCK "
"19-Jul-2023 10.52","26048","19-May-23","EKAB","wildtype","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.53","26048","19-May-23","EKAB","wildtype","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.54","26048","19-May-23","EKAB","wildtype","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.56","18000","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.57","25916","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.57","25916","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.58","25958","9-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.58","25958","9-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.58","25958","9-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.59","25916","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","25"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 10.59","25916","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","25"," ADDED STOCK IN THE Streisinger Fish Room"
"19-Jul-2023 11.03","18000","3-May-23","Tg(pdgfrb Gal4 UAS:RFP)","RFP+","MAG/MHM","40","EDITED THE ADULT STOCK "
"20-Jul-2023 12.31","26476","18-Jul-23","ctgfa +/- ","+/+ or +/- or -/-","RM/MHM","40"," ADDED STOCK IN THE Johnson Nursery"
"20-Jul-2023 12.33","26477","18-Jul-23","stl655 Tg(ctgfa:GFP-L9)","+/- ; GFP+","RM/MHM","40"," ADDED STOCK IN THE Walker Nursery"
"20-Jul-2023 12.37","26478","18-Jul-23","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","RM/MHM","1"," ADDED STOCK IN THE Walker Nursery"
"20-Jul-2023 12.44","26477","18-Jul-23","stl655 Tg(ctgfa:GFP-L9)","+/- ; GFP+","RM/MHM","40","EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.45","26478","18-Jul-23","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","RM/MHM","1","EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.45","26478","18-Jul-23","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","RM/MHM","40"," ADDED STOCK IN THE Johnson Nursery"
"20-Jul-2023 12.48","26299","27-Jun-23","scn4ab-T2A-mcherry-P2A-NTR KI F0","Enter genotype","MHM/RM","30","EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.48","26478","18-Jul-23","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","RM/MHM","40","EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.51","26478","18-Jul-23","ctgfa:R-NTR L13","RFP/+","RM/MHM","40"," ADDED STOCK IN THE Johnson Nursery"
"20-Jul-2023 12.56","26477","18-Jul-23","stl655 Tg(ctgfa:GFP-L9)","GFP/+","RM/MHM","40"," ADDED STOCK IN THE Walker Nursery"
"20-Jul-2023 12.57","26299","27-Jun-23","scn4ab-T2A-mcherry-P2A-NTR KI F0","Enter genotype","MHM/RM","30","EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.57","26478","18-Jul-23","Tg(ctgfa-R-NTR-L13) RFP+","RFP/+","RM/MHM","40","EUTHANIZED THE NURSERY STOCK"
