"No..of.Tanks","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Fish.number","Responsible","Female.Parent.Genotype","Male.Parent.Genotype","Female.Parent.Stock","Male.Parent.Stock","Notes"
1,"12746","13-Sep-17","mm520 inj","Enter genotype",80,"MHM","From Q (Duke stock # 8593, born 4/17)","","","","To euthanize 10/19/17"
1,"12747","13-Sep-17","ctgfa-/- x EK/AB","Enter genotype",80,"MHM","From Q (Duke stock # 8680, born 3/17)","","","","screened, PCR+ "
1,"12748","13-Sep-17"," -4-ctgfa:GFP - L6","Enter genotype",25,"MHM","From Q (Duke stock # 8517, born 4/17)","","","","incross, G+"
1,"12749","13-Sep-17","tc1-M2-L1 ","Enter genotype",80,"MHM","From Q (Duke stock # 8531, born 3/17)","","","","F2 cross, screened"
1,"12750","13-Sep-17","ctgfa:CreER-L7","Enter genotype",80,"MHM","From Q (Duke stock # 8823, born 3/17)","","","","incross, unscreened"
1,"12751","13-Sep-17"," -3-ctgfa:GFP - L1","Enter genotype",80,"MHM","From Q (Duke stock # 8629, born 4/17)","","","","incross, G+"
1,"12752","13-Sep-17","hsp:wnt5b-GFP","Enter genotype",80,"MHM","From Q (Duke stock # 8879, born 7/17)","","","","incross, unscreened"
1,"12753","13-Sep-17","hsp:id4-GFP","Enter genotype",80,"MHM","From Q (Duke stock # 8165, born 12/16)","","","","incross, unscreened"
1,"12754","13-Sep-17","tc1b-M1-L1","Enter genotype",80,"MHM","From Q (Duke stock # 8551, born 4/17)","","","","Founder #5, F1 cross"
1,"12755","13-Sep-17"," -4-ctgfa:GFP - L5","Enter genotype",80,"MHM","From Q (Duke stock # 8626, born 4/17)","","","","incross, screened"
1,"12756","13-Sep-17","tc1-M2-inj","Enter genotype",80,"MHM","From Q (Duke stock # 8573, born 4/17)","","","","To euthanize 10/19/17"
1,"12757","13-Sep-17","tefa-M1-L1","Enter genotype",79,"MHM","From Q (Duke stock # 8791, born 5/17)","","","","het cross, screened"
