"Tank.Name","Stock.number.","Date.of.Birth","Fish.name","Genotype.","Responsible","Number.of.fish","Experiment.label","Food.label","Notes"
"J4-1_A1",28726,"16-May-2024","hsp70:hgnao1-2A-EGFP-L3","GFP/+","MHM/RM","40","BREEDING STOCK","SD","stocks"
"J4-1_A2",29693,"29-Oct-2024","mm520 inj","+/+ or +/- or -/-","MHM","6","GENOTYPE","SD","asas"
"J4-1_A3",29693,"29-Oct-2024","mm520 inj","+/+ or +/- or -/-","MHM","34","GENOTYPE","SD","asas"
"J4-1_A4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A12",25604,"4-Apr-2023","stab1 het inx","+/-","RM/MHM","15","Stocks","SD","STOCKS"
"J4-1_A13",24703,"1-Dec-2022","prkdc -/-;il2rga -/-;wt","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_A14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_A15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B12",24538,"3-Nov-2022","Tg(hpla:GFP) +/-","Enter genotype","MHM/RM","15","Stocks","Enter food label","Enter Notes"
"J4-1_B13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"J4-1_B14",NA,NA,NA,NA,NA,NA,NA,NA,NA
